Actual_Days_for_Shipping,Predicted_Days_for_Shipping,Prediction_Error
5.0,4.0272,0.9728000000000003
2.0,2.0,0.0
2.0,3.7449,-1.7449
5.0,4.0321,0.9679000000000002
2.0,3.9425,-1.9425
5.0,4.0703,0.9297000000000004
6.0,4.0825,1.9175000000000004
2.0,3.6293,-1.6293000000000002
6.0,4.0857,1.9143
4.0,4.1718,-0.17180000000000017
3.0,3.9607,-0.9607000000000001
6.0,3.977,2.023
6.0,4.333,1.6669999999999998
2.0,3.9381,-1.9381
5.0,3.9603,1.0396999999999998
1.0,0.9926,0.007399999999999962
2.0,2.0,0.0
4.0,4.3845,-0.38450000000000006
4.0,4.0122,-0.012199999999999989
2.0,3.9579,-1.9579
4.0,4.1408,-0.1407999999999996
4.0,3.418,0.5819999999999999
5.0,3.9943,1.0057
2.0,2.0,0.0
3.0,3.9612,-0.9611999999999998
5.0,3.9556,1.0444
2.0,2.0,0.0
4.0,3.9399,0.06009999999999982
2.0,2.0,0.0
2.0,4.0585,-2.0585000000000004
5.0,4.2755,0.7244999999999999
5.0,3.9334,1.0666000000000002
5.0,3.9534,1.0466000000000002
2.0,2.0,0.0
1.0,0.9929,0.007099999999999995
2.0,2.0,0.0
4.0,3.957,0.04300000000000015
2.0,2.0,0.0
2.0,2.0,0.0
3.0,3.9965,-0.9965000000000002
3.0,3.9987,-0.9986999999999999
2.0,4.0098,-2.0098000000000003
2.0,3.9922,-1.9922
2.0,3.7721,-1.7721
6.0,4.3271,1.6729000000000003
5.0,4.0343,0.9657
2.0,3.9363,-1.9363000000000001
2.0,3.8429,-1.8429000000000002
3.0,4.0075,-1.0075000000000003
6.0,3.9964,2.0036
4.0,3.8928,0.10720000000000018
6.0,4.0476,1.9524
4.0,4.0057,-0.005700000000000038
6.0,4.0639,1.9360999999999997
3.0,3.976,-0.976
2.0,2.0,0.0
3.0,3.9152,-0.9152
2.0,2.0,0.0
5.0,3.9607,1.0393
4.0,3.8493,0.15070000000000006
2.0,2.0,0.0
2.0,3.8026,-1.8026
4.0,3.982,0.017999999999999794
5.0,3.9662,1.0337999999999998
5.0,4.1018,0.8982000000000001
2.0,2.0,0.0
2.0,3.7339,-1.7339000000000002
2.0,4.0257,-2.0256999999999996
2.0,2.0,0.0
2.0,2.0,0.0
3.0,3.9315,-0.9315000000000002
2.0,2.0,0.0
5.0,3.8529,1.1471
2.0,3.9639,-1.9639000000000002
6.0,4.0295,1.9705000000000004
5.0,3.5873,1.4127
5.0,3.9965,1.0034999999999998
2.0,3.8693,-1.8693
4.0,3.9104,0.0895999999999999
3.0,3.8605,-0.8605
3.0,3.9275,-0.9275000000000002
2.0,2.0,0.0
3.0,3.975,-0.9750000000000001
4.0,3.9621,0.037900000000000045
5.0,4.018,0.9820000000000002
2.0,2.0,0.0
6.0,4.4917,1.5083000000000002
2.0,4.0489,-2.0488999999999997
3.0,4.0582,-1.0582000000000003
6.0,4.4984,1.5015999999999998
6.0,4.0439,1.9561000000000002
4.0,4.2095,-0.20950000000000024
3.0,3.7629,-0.7629000000000001
3.0,3.5716,-0.5716000000000001
2.0,3.9836,-1.9836
2.0,2.0,0.0
4.0,4.0087,-0.008700000000000152
2.0,2.0,0.0
4.0,4.0703,-0.07029999999999959
3.0,4.0537,-1.0537
2.0,2.0,0.0
3.0,3.8757,-0.8757000000000001
2.0,3.7422,-1.7422
5.0,4.0069,0.9931000000000001
3.0,4.1131,-1.1131000000000002
2.0,3.2511,-1.2511
2.0,3.9313,-1.9312999999999998
5.0,4.0085,0.9915000000000003
2.0,2.0,0.0
0.0,0.0,0.0
2.0,2.0,0.0
4.0,4.1481,-0.14810000000000034
2.0,3.7164,-1.7164000000000001
2.0,2.0,0.0
2.0,3.6786,-1.6785999999999999
5.0,3.9831,1.0169000000000001
2.0,3.862,-1.862
3.0,3.9738,-0.9738000000000002
4.0,4.0295,-0.029499999999999638
4.0,3.9439,0.05609999999999982
1.0,0.9926,0.007399999999999962
3.0,3.9794,-0.9794
2.0,4.023,-2.0229999999999997
6.0,3.9871,2.0129
3.0,3.9614,-0.9613999999999998
4.0,4.002,-0.0019999999999997797
0.0,0.086,-0.086
2.0,2.0,0.0
5.0,4.0058,0.9942000000000002
0.0,0.0,0.0
5.0,3.8637,1.1362999999999999
5.0,4.2832,0.7168000000000001
2.0,2.0,0.0
0.0,0.0,0.0
6.0,3.9393,2.0607
4.0,3.9969,0.0030999999999998806
6.0,4.1089,1.8910999999999998
2.0,2.0,0.0
2.0,3.914,-1.9140000000000001
2.0,3.8572,-1.8572000000000002
4.0,3.9259,0.07410000000000005
6.0,4.0179,1.9821
0.0,0.0,0.0
6.0,3.976,2.024
6.0,4.3168,1.6832000000000003
4.0,4.0006,-0.000600000000000378
3.0,3.7479,-0.7479
2.0,3.8726,-1.8725999999999998
1.0,0.988,0.01200000000000001
2.0,3.6947,-1.6947
2.0,3.9415,-1.9415
3.0,3.973,-0.9729999999999999
2.0,3.6807,-1.6806999999999999
2.0,3.7286,-1.7286000000000001
5.0,3.7965,1.2035
5.0,3.795,1.205
5.0,3.99,1.0099999999999998
6.0,4.1014,1.8986
2.0,3.7785,-1.7785000000000002
6.0,4.0617,1.9383
3.0,4.0134,-1.0133999999999999
1.0,0.9926,0.007399999999999962
2.0,3.9822,-1.9822000000000002
4.0,3.9555,0.044500000000000206
2.0,3.6291,-1.6291000000000002
3.0,3.9304,-0.9304000000000001
4.0,3.996,0.0040000000000000036
2.0,2.0,0.0
2.0,3.853,-1.8530000000000002
2.0,2.0,0.0
2.0,2.0,0.0
3.0,3.5696,-0.5695999999999999
2.0,4.0084,-2.0084
2.0,3.8997,-1.8997000000000002
6.0,4.8059,1.1940999999999997
5.0,3.9746,1.0253999999999999
5.0,4.0496,0.9504000000000001
4.0,4.0347,-0.03469999999999995
4.0,4.1267,-0.1266999999999996
5.0,4.0597,0.9402999999999997
3.0,3.5738,-0.5737999999999999
5.0,3.9964,1.0036
2.0,2.0,0.0
5.0,4.0391,0.9608999999999996
4.0,3.9351,0.06490000000000018
2.0,4.0161,-2.0161
6.0,4.7897,1.2103000000000002
2.0,3.9589,-1.9588999999999999
4.0,3.9786,0.021399999999999864
3.0,4.0261,-1.0260999999999996
5.0,4.0149,0.9851000000000001
5.0,3.8319,1.1681
6.0,4.0035,1.9965000000000002
2.0,4.4265,-2.4265
6.0,4.4242,1.5758
6.0,4.1537,1.8463000000000003
6.0,4.1644,1.8356000000000003
6.0,3.8985,2.1015
2.0,3.7419,-1.7418999999999998
1.0,0.9929,0.007099999999999995
2.0,2.0,0.0
4.0,4.4648,-0.4648000000000003
2.0,3.9838,-1.9838
4.0,3.8867,0.11330000000000018
4.0,4.0634,-0.06339999999999968
5.0,3.9701,1.0299
4.0,4.188,-0.18799999999999972
6.0,4.1711,1.8289
5.0,3.8621,1.1379000000000001
3.0,3.9971,-0.9971000000000001
6.0,4.0183,1.9817
6.0,4.1612,1.8388
5.0,3.7874,1.2126000000000001
2.0,3.7028,-1.7027999999999999
2.0,3.9925,-1.9925000000000002
2.0,3.9864,-1.9864000000000002
6.0,4.0266,1.9733999999999998
5.0,4.3834,0.6166
3.0,3.9836,-0.9836
3.0,3.7467,-0.7467000000000001
0.0,0.0,0.0
5.0,3.9923,1.0076999999999998
2.0,2.0,0.0
5.0,4.0044,0.9955999999999996
6.0,4.4166,1.5834000000000001
2.0,2.0,0.0
3.0,4.0024,-1.0023999999999997
3.0,3.9003,-0.9003000000000001
2.0,2.0,0.0
2.0,2.0,0.0
5.0,4.0493,0.9507000000000003
4.0,3.9393,0.0607000000000002
5.0,4.0088,0.9912000000000001
2.0,3.5813,-1.5813000000000001
1.0,0.988,0.01200000000000001
2.0,2.0,0.0
2.0,2.0,0.0
4.0,3.8584,0.14159999999999995
6.0,3.9934,2.0066
6.0,3.8204,2.1796
6.0,3.9442,2.0558
5.0,4.051,0.9489999999999998
4.0,3.9413,0.058699999999999974
2.0,2.0,0.0
3.0,4.0317,-1.0316999999999998
2.0,3.6846,-1.6846
5.0,4.1343,0.8657000000000004
4.0,3.909,0.09100000000000019
4.0,4.2832,-0.2831999999999999
2.0,2.0,0.0
3.0,3.9352,-0.9352
2.0,3.9593,-1.9592999999999998
6.0,3.9113,2.0887
1.0,0.9906,0.009399999999999964
3.0,3.9512,-0.9512
6.0,4.1675,1.8324999999999996
2.0,3.979,-1.979
4.0,3.985,0.015000000000000124
2.0,2.0,0.0
4.0,4.2348,-0.2347999999999999
4.0,3.9835,0.01650000000000018
2.0,2.0,0.0
6.0,3.9494,2.0506
1.0,0.9906,0.009399999999999964
2.0,2.0,0.0
2.0,2.0,0.0
6.0,4.1584,1.8415999999999997
3.0,3.8263,-0.8262999999999998
2.0,3.9703,-1.9703
5.0,3.9678,1.0322
5.0,3.7978,1.2022
2.0,3.7138,-1.7138
5.0,3.8756,1.1244
2.0,2.0,0.0
5.0,3.874,1.126
2.0,2.0,0.0
6.0,4.5256,1.4744000000000002
6.0,4.0329,1.9671000000000003
3.0,3.904,-0.9039999999999999
